iter	Logloss
0	0.6620573997
1	0.6335749149
2	0.6079821587
3	0.5842925549
4	0.5610579967
5	0.5440045357
6	0.5276163101
7	0.5111650467
8	0.4989821434
9	0.4856788158
10	0.4739168167
11	0.4624115467
12	0.4494484425
13	0.4382995129
14	0.4318187714
15	0.4245621681
16	0.4182891846
17	0.4099849701
18	0.4036317825
19	0.396281147
20	0.3891064882
21	0.3839688301
22	0.3787221432
23	0.3754946232
24	0.3703542948
25	0.3666544914
26	0.3612438202
27	0.3567500591
28	0.3523406506
29	0.3479229212
30	0.343048501
31	0.3389930725
32	0.3336061478
33	0.3301949501
34	0.3245531082
35	0.3210515022
36	0.3172988653
37	0.31382761
38	0.3099625349
39	0.3064438105
40	0.3032608986
41	0.299006176
42	0.2955053806
43	0.2919130087
44	0.2897287846
45	0.2870720387
46	0.2847007275
47	0.2833773851
48	0.280538559
49	0.2787156105
50	0.2768119812
51	0.2741233349
52	0.2709565639
53	0.2692713499
54	0.2669852972
55	0.2641483068
56	0.2624916077
57	0.2607880116
