iter	Passed	Remaining
0	3	3660
1	6	3014
2	7	2613
3	9	2478
4	11	2386
5	13	2294
6	16	2279
7	18	2253
8	20	2216
9	21	2172
10	23	2137
11	25	2105
12	27	2101
13	29	2082
14	31	2062
15	33	2040
16	35	2027
17	36	2017
18	39	2016
19	40	2001
20	42	1992
21	44	1981
22	46	1980
23	48	1982
24	50	1976
25	52	1977
26	54	1967
27	56	1962
28	58	1959
29	60	1951
30	62	1948
31	64	1948
32	66	1950
33	68	1951
34	70	1952
35	72	1951
36	74	1949
37	77	1949
38	79	1959
39	81	1953
40	83	1952
41	85	1948
42	87	1946
43	89	1942
44	91	1939
45	93	1935
46	95	1932
47	97	1927
48	99	1923
49	100	1918
50	102	1915
51	104	1914
52	107	1914
53	109	1911
54	111	1909
55	113	1909
56	115	1907
57	117	1906
